App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Current Ver,Android Ver,Revenue_Estimate,Cluster,Review_Sentiment
Truth or Dare Pro,DATING,4.3,0.0,20.0,50,Paid,1.49,Teen,Dating,1.0,4.0 and up,74.5,0,0.0
"Private Dating, Hide App- Blue for PrivacyHider",DATING,4.3,0.0,0.018,100,Paid,2.99,Everyone,Dating,1.0.1,4.0 and up,299.0,0,0.0
Ad Blocker for SayHi,DATING,4.3,4.0,1.2,100,Paid,3.99,Teen,Dating,1.2,4.0.3 and up,399.0,0,0.0
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2.0,17.0,100,Paid,7.99,Mature 17+,Dating,1.0.1,4.0 and up,799.0,0,0.0
Pinkalicious Party,FAMILY,3.0,2.0,82.0,500,Paid,2.99,Everyone,Educational;Creativity,1.5.0,4.1 and up,1495.0,4,0.0
All-in-One Mahjong 3,FAMILY,4.4,38.0,16.0,100,Paid,0.99,Everyone,Board;Brain Games,20180609,4.0 and up,99.0,0,0.0
World Racers family board game,FAMILY,4.8,4.0,42.0,100,Paid,0.99,Everyone,Board;Pretend Play,1.1,5.1 and up,99.0,4,0.0
Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3.0,23.0,100,Paid,2.99,Everyone,Medical,1.0,4.1 and up,299.0,0,0.0
Arrhythmias and Dysrhythmias,MEDICAL,4.3,3.0,24.0,500,Paid,1.0,Everyone,Medical,1.0,4.2 and up,500.0,3,0.0
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8.0,6.5,100,Paid,12.99,Everyone,Medical,7,3.0 and up,1299.0,0,0.0
FHR 5-Tier 2.0,MEDICAL,5.0,2.0,1.2,500,Paid,2.99,Everyone,Medical,1.0,4.0 and up,1495.0,3,0.0
"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156.0,22.0,500,Paid,3.49,Everyone,Medical,1.10.0.user.pro.release,4.4 and up,1745.0,2,0.0
Advanced Comprehension Therapy,MEDICAL,4.3,3.0,62.0,100,Paid,24.99,Everyone,Medical,1.2,4.0.3 and up,2499.0,4,0.0
Pain Tracker & Diary,MEDICAL,4.3,3.0,4.6,100,Paid,2.99,Everyone,Medical,1.50,4.1 and up,299.0,0,0.0
Number Therapy,MEDICAL,4.3,0.0,5.3,50,Paid,14.99,Everyone,Medical,1.0,4.0.3 and up,749.5,0,0.0
Navi Radiography Pro,MEDICAL,4.7,11.0,100.0,500,Paid,15.99,Everyone,Medical,1.2.0,4.0.3 and up,7995.0,4,0.0
Nursing Care Plan NANDA Tables,MEDICAL,3.0,4.0,3.4,500,Paid,0.99,Everyone,Medical,1.0,2.3.3 and up,495.0,3,0.0
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8.0,6.5,100,Paid,12.99,Everyone,Medical,7,3.0 and up,1299.0,0,0.0
LTC AS Legal,MEDICAL,4.0,6.0,1.3,100,Paid,39.99,Everyone,Medical,3.0.1,4.1 and up,3999.0,0,0.0
Advanced Comprehension Therapy,MEDICAL,4.3,3.0,62.0,100,Paid,24.99,Everyone,Medical,1.2,4.0.3 and up,2499.0,4,0.0
Visualmed,MEDICAL,4.3,0.0,3.1,1,Paid,2.99,Everyone,Medical,1.0,4.1 and up,2.99,0,0.0
ABG Master,MEDICAL,4.3,2.0,1.8,50,Paid,0.99,Everyone,Medical,1.1,4.1 and up,49.5,0,0.0
OrthoFlow,MEDICAL,4.3,0.0,66.0,10,Paid,5.99,Everyone,Medical,1.0.0,4.2 and up,59.900000000000006,4,0.0
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,4.3,0.0,5.0,1,Paid,0.99,Everyone,Medical,1.0,4.0.3 and up,0.99,0,0.0
ADS-B Driver,TOOLS,5.0,2.0,6.3,100,Paid,1.99,Everyone,Tools,1.19,4.4 and up,199.0,0,0.0
B-17 Flying Fortress WWII LWP,PERSONALIZATION,4.3,7.0,14.0,100,Paid,1.49,Everyone,Personalization,1.0,4.1 and up,149.0,0,0.0
B-52 Spirits of Glory Deluxe,GAME,4.3,12.0,29.0,100,Paid,0.99,Everyone,Arcade,1.5.9,2.3 and up,99.0,0,0.0
CURSUM B,GAME,4.3,30.0,26.0,500,Paid,0.99,Everyone,Racing,1.0.0,2.3 and up,495.0,3,0.0
Speech Therapy: F,FAMILY,1.0,1.0,16.0,10,Paid,2.99,Everyone,Education,1.0,2.3.3 and up,29.900000000000002,0,0.0
Norwegian For Kids & Babies F,FAMILY,4.3,0.0,14.0,5,Paid,39.99,Everyone,Education,1.0,4.0 and up,199.95000000000002,0,0.0
F Length Sim (no Ads),PHOTOGRAPHY,4.3,0.0,1.7,10,Paid,2.0,Everyone,Photography,1.0,4.0.3 and up,20.0,0,0.0
Arto: f.infrared photo,PHOTOGRAPHY,4.1,41.0,11.0,500,Paid,1.49,Everyone,Photography,3.1,4.4 and up,745.0,3,0.0
Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5.0,11.0,100,Paid,2.99,Everyone,Productivity,2,3.2 and up,299.0,0,0.0
G-Force Driving Assistant,SPORTS,4.6,10.0,6.1,100,Paid,3.88,Everyone,Sports,1.0,2.3.3 and up,388.0,0,0.0
"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25.0,15.0,500,Paid,1.49,Everyone,Personalization,1.0.2,7.0 and up,745.0,3,0.0
G-NetReport Pro,TOOLS,4.3,0.0,1.6,10,Paid,25.99,Everyone,Tools,5.0,4.0 and up,259.9,0,0.0
Dialer theme G Black Gold,PERSONALIZATION,4.2,33.0,0.857,500,Paid,1.49,Everyone,Personalization,2.0,4.0 and up,745.0,3,0.0
G-NetWiFi Pro,TOOLS,3.3,6.0,1.5,100,Paid,5.99,Everyone,Tools,3.2,4.0 and up,599.0,0,0.0
Deaf - Hearing chat device H,COMMUNICATION,4.4,9.0,0.051,500,Paid,3.99,Everyone,Communication,3.6,2.2 and up,1995.0,3,0.0
most expensive app (H),FAMILY,4.3,6.0,1.5,100,Paid,399.99,Everyone,Entertainment,1.0,7.0 and up,39999.0,1,0.0
J Alvarej Moji,COMMUNICATION,4.3,2.0,13.0,10,Paid,1.99,Everyone,Communication,1.0,3.2 and up,19.9,0,0.0
K.MOJI,FAMILY,4.8,16.0,8.9,500,Paid,1.99,Everyone,Entertainment,1.0,4.2 and up,995.0,3,0.0
Anna.K Tarot,FAMILY,4.8,17.0,23.0,100,Paid,3.99,Mature 17+,Entertainment,1.4.4,4.0.3 and up,399.0,0,0.0
Obbligo o Verità? PRO,GAME,4.3,4.0,2.9,100,Paid,0.99,Teen,Board,"1,01",3.0 and up,99.0,0,0.0
O'Route Orienteering,SPORTS,4.2,6.0,1.3,100,Paid,3.02,Everyone,Sports,2.0.5,3.0 and up,302.0,0,0.0
